moment,q0,q10,q50,q90,q100,corrected
2018-12-10T00:00Z,-8.85710404824066089,-8.85655778239898694,-8.8419286206512453,-8.70954299132079868,-8.69162621499633659,-8.80848766125233773
2018-12-11T00:00Z,-8.87289726944732671,-8.87107814993591148,-8.86704062528228576,-8.79356700959930393,-8.77253152246093748,-8.84621319400532791
2018-12-15T00:00Z,-8.89109353130340452,-8.88956999521102809,-8.88824036825561414,-8.88474677502288834,-8.8808966487884522,-8.88753536507797293
2018-12-17T00:00Z,-8.93620217791747962,-8.93525606593933119,-8.93236491934966992,-8.88110480757140941,-8.84514572489166184,-8.92039767792680571
2018-12-18T00:00Z,-8.95464606477355929,-8.9534833977157593,-8.94610660559082049,-8.84764605380248881,-8.70956855799102669,-8.92070044498109915
2018-12-19T00:00Z,-8.97719156140136576,-8.97338241927337599,-8.96696676856994657,-8.91969188088836518,-8.76933359600830009,-8.94997646461121121
2018-12-20T00:00Z,-8.98701976342773357,-8.98381863338394027,-8.97932218709945573,-8.53672543281402518,-8.15705692378234737,-8.88465794497696493
2018-12-21T00:00Z,-8.99247536457061614,-8.98451501147842357,-8.75563937347411958,-7.8092521890548694,-7.36179201681518514,-8.6487717886524198
2018-12-22T00:00Z,-8.67553510803985617,-8.45012288223114005,-8.21992187221908566,-7.51599054629363916,-7.11583986985778694,-8.14020766236972904
2018-12-23T00:00Z,-8.48174608454895029,-8.46224665346145599,-8.35157581811141903,-7.9854457040878275,-7.4592939456939682,-8.26340630331993076
2018-12-24T00:00Z,-8.49652614595031608,-8.48875394951476991,-8.33892496277618278,-7.63832662728424072,-7.14814848110961876,-8.2103063951110844
2018-12-25T00:00Z,-8.36589284353637552,-8.35150825108795125,-8.23083045841216965,-7.8753884479843137,-7.38909419392394895,-8.15861542291990638
2018-12-26T00:00Z,-8.47044244544982838,-8.37279394483795159,-8.23813914975738371,-8.05861220540923817,-7.61702030718994116,-8.21847009121672301
2018-12-27T00:00Z,-8.71699503108978213,-8.71361631891937094,-8.6464357628440851,-8.38325740369720407,-8.09878185430908104,-8.58379585629002229
2018-12-28T00:00Z,-8.70614102107238708,-8.70483948920059092,-8.66557920722961406,-8.27508786653289619,-7.85894514500427199,-8.56878960131438383
2018-12-29T00:00Z,-8.66743258742523182,-8.66033866922302309,-8.63543172204589737,-8.4746256438423142,-8.21440098464965729,-8.59428299881028757
2018-12-30T00:00Z,-8.78569044583129788,-8.7769763019989,-8.75316981391143756,-8.69516253098068148,-8.57659217532348528,-8.73934168329811101
2018-12-31T00:00Z,-8.76181202049255248,-8.76031259464187606,-8.7309659567718505,-8.6313905791313168,-8.52377776118469122,-8.71540409908914349
2019-01-01T00:00Z,-8.76812219329070963,-8.75848419211196827,-8.73159581674194385,-8.36161061872024369,-8.07127001960754242,-8.648414948524632
2019-01-02T00:00Z,-8.81542696583557017,-8.81132691903228604,-8.7972165000953666,-8.69310007801818685,-8.5603151034545899,-8.76868374498430825
2019-01-03T00:00Z,-8.80482754711914062,-8.80207881509017831,-8.76956848298645042,-7.99985747097930755,-7.6296862203826894,-8.62208336486371252
2019-01-04T00:00Z,-8.77543660181426866,-8.77274703491287156,-8.75852677158736981,-8.1846601140747044,-7.71036455809020893,-8.63647912389151173
2019-01-05T00:00Z,-8.79505762731170648,-8.79156141554641657,-8.77590778650665193,-8.08701760337982023,-7.66290810287475566,-8.62378175446796114
2019-01-06T00:00Z,-8.84097433006286515,-8.83785125098571633,-8.79162059700774989,-8.00123010222320374,-7.54974205087280126,-8.62143828923813693
2019-01-07T00:00Z,-8.89103318780517426,-8.88571724768371496,-8.85967690672302233,-8.39956184804839978,-7.94145201774597176,-8.76428108971484221
2019-01-08T00:00Z,-8.87753214640808075,-8.8655488056602465,-8.84963852907943682,-8.07160302673949914,-7.57584614945983859,-8.67159275652567452
2019-01-09T00:00Z,-8.84472078078460555,-8.8394948378395064,-8.80306729975128022,-7.46859207259979119,-7.06064125363159079,-8.50023813059250521
2019-01-10T00:00Z,-8.79735350054168563,-8.78866577989196784,-8.77000844517898415,-8.06062288246459779,-7.88252069964599578,-8.58222529945755142
2019-01-11T00:00Z,-8.83107751810455177,-8.81900414297332702,-8.78537572607040218,-8.5158123001220698,-8.41301488383483864,-8.73693358492104011
2019-01-12T00:00Z,-8.86948900042724553,-8.85878150783233664,-8.8435110049629202,-8.76613406941146778,-8.64867399858093222,-8.82546157626946481
2019-01-13T00:00Z,-8.89107013075256347,-8.88244069185562068,-8.85249309275436325,-8.81776503136672929,-8.76787415169525097,-8.85138382839679494
